Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];
435775;0.000000;24.375000;0.021667;3.140834;97;

435922;-4.000000;24.312500;0.021667;3.140834;94;

436070;-1.333374;24.312500;0.021667;3.140834;94;

436216;-8.000000;24.312500;0.021667;3.140834;95;

436361;-17.333374;24.312500;0.021667;3.140417;93;

436517;-20.000000;24.312500;0.021667;3.140834;93;

436653;-22.666626;24.375000;0.021667;3.140417;94;

436796;-26.666626;24.375000;0.021667;3.140417;96;

436938;-22.666626;24.375000;0.021667;3.140834;92;

437084;-25.333374;24.312500;0.021667;3.140834;93;

437226;-22.666626;24.312500;0.021667;3.140834;91;

437365;-25.333374;24.312500;0.021667;3.140417;92;

437506;-30.666626;24.375000;0.021667;3.140834;95;

437645;-22.666626;24.312500;0.021667;3.140417;96;

437786;-21.333374;24.375000;0.021667;3.140834;93;

437924;-18.666626;24.375000;0.021667;3.140834;95;

438066;-17.333374;24.375000;0.021667;3.140834;96;

438204;-17.333374;24.375000;0.021667;3.140834;96;

438348;-13.333374;24.375000;0.021667;3.140834;94;

438496;-13.333374;24.375000;0.021667;3.140834;95;

438634;-13.333374;24.375000;0.021667;3.140417;95;

438779;-8.000000;24.312500;0.021667;3.140834;95;

438923;-10.666626;24.375000;0.021667;3.140834;97;

439075;-17.333374;24.375000;3.140834;3.140417;93;

439223;-22.666626;24.375000;0.021667;3.140834;98;

439368;-16.000000;24.375000;0.021250;3.140417;94;

439508;-17.333374;24.375000;0.021667;3.140834;92;

439647;-21.333374;24.375000;0.021667;3.140417;96;

439785;-21.333374;24.375000;0.021667;3.140834;99;

439926;-21.333374;24.375000;0.021667;3.140834;95;

440065;-20.000000;24.375000;0.021667;3.140834;95;

440206;-21.333374;24.375000;0.021667;3.140834;95;

440343;-21.333374;24.375000;0.021667;3.140417;94;

440487;-21.333374;24.375000;0.021667;3.140834;94;

440636;-18.666626;24.375000;0.021667;3.140834;94;

440773;-17.333374;24.375000;0.021667;3.140834;94;

440916;-16.000000;24.375000;0.021667;3.140834;94;

441054;-16.000000;24.375000;0.021667;3.140834;96;

441198;-17.333374;24.375000;0.021667;3.140834;95;

441343;-13.333374;24.375000;0.021667;3.140417;95;

441486;-10.666626;24.375000;0.021667;3.140834;94;

441629;-16.000000;24.375000;0.021667;3.140834;96;

441782;-8.000000;24.375000;0.021667;3.140834;94;

441930;-8.000000;24.375000;0.021667;3.140834;96;

442066;-8.000000;24.375000;0.021667;3.140417;96;

442207;-8.000000;24.375000;0.021667;3.140834;97;

442336;-13.333374;24.375000;3.140417;3.140417;96;

442477;-8.000000;24.375000;0.021667;3.140834;93;

442629;-13.333374;24.375000;0.021667;3.140834;96;

442774;-8.000000;24.375000;0.021667;3.140834;92;

442918;-8.000000;24.375000;0.021667;3.140417;92;

443066;0.000000;24.375000;0.021667;3.140834;93;

443204;8.000000;24.375000;0.021667;3.140834;96;

443346;5.333374;24.375000;0.021667;3.140834;94;

443484;12.000000;24.375000;0.021667;3.140834;92;

443626;10.666626;24.375000;0.021667;3.140834;95;

443765;8.000000;24.375000;0.021667;3.140834;94;

443906;1.333374;24.375000;0.021667;3.140834;95;

444045;4.000000;24.375000;0.021667;3.140834;95;

444186;0.000000;24.375000;0.021667;3.140834;95;

444323;-1.333374;24.375000;0.021667;3.140834;94;

444466;-4.000000;24.437500;0.021667;3.140834;95;

444604;-8.000000;24.375000;0.021667;3.140834;96;

444752;-16.000000;24.375000;0.021667;3.140834;91;

444895;-10.666626;24.375000;0.021667;3.140834;95;

445028;-17.333374;24.375000;0.021667;3.140417;96;

445160;-16.000000;24.375000;0.021667;3.140834;96;

445300;-16.000000;24.375000;0.021667;3.140417;94;

445436;-13.333374;24.375000;0.021667;3.140417;93;

445580;-16.000000;24.375000;0.021667;3.140834;93;

445728;-16.000000;24.375000;0.021667;3.140417;95;

445863;-16.000000;24.437500;0.021667;3.140834;95;

446008;-13.333374;24.375000;0.021667;3.140417;95;

446153;-17.333374;24.375000;0.021667;3.140834;92;

446296;-17.333374;24.437500;0.021667;3.140834;91;

446436;-20.000000;24.375000;0.021667;3.140834;96;

446576;-25.333374;24.437500;0.021667;3.140834;94;

446717;-18.666626;24.375000;0.021667;3.140834;94;

446853;-18.666626;24.437500;0.021667;3.140417;93;

446996;-20.000000;24.437500;0.021667;3.140834;95;

447135;-22.666626;24.437500;0.021667;3.140834;93;

447276;-22.666626;24.437500;0.021667;3.140834;95;

447415;-21.333374;24.437500;0.021667;3.140834;96;

447556;-25.333374;24.437500;0.021667;3.140417;92;

447694;-21.333374;24.437500;0.021667;3.140417;93;

447835;-17.333374;24.375000;0.021667;3.140834;95;

447972;-22.666626;24.437500;0.021667;3.140417;92;

448105;-22.666626;24.437500;0.021667;3.140417;92;

448258;-17.333374;24.437500;0.021667;3.140834;94;

448410;-17.333374;24.437500;0.021667;3.140417;94;

448544;-16.000000;24.437500;0.021667;3.140417;96;

448679;-13.333374;24.437500;0.021667;3.140417;95;

448826;-8.000000;24.437500;0.021667;3.140834;93;

448966;-13.333374;24.437500;0.021667;3.140834;93;

449106;-13.333374;24.437500;0.021667;3.140834;93;

449244;-4.000000;24.437500;0.021667;3.140417;97;

449386;0.000000;24.437500;0.021250;3.140834;92;

449525;0.000000;24.437500;0.021667;3.140834;93;

449666;-4.000000;24.437500;0.021667;3.140834;94;

449804;-1.333374;24.437500;0.021667;3.140417;95;

449947;-8.000000;24.437500;0.021667;3.140417;96;

450096;-2.666626;24.437500;0.021667;3.140834;94;

450233;-4.000000;24.437500;0.021667;3.140834;95;

450376;-1.333374;24.437500;0.021667;3.140417;97;

450514;-4.000000;24.437500;0.021667;3.140834;98;

450658;-4.000000;24.437500;0.021667;3.140417;94;

450803;0.000000;24.437500;0.021667;3.140834;95;

450950;0.000000;24.437500;0.021667;3.140834;94;

451098;4.000000;24.437500;0.021667;3.140834;94;

451244;1.333374;24.437500;0.021250;3.140834;94;

451389;8.000000;24.437500;0.021667;3.140417;94;

451523;10.666626;24.437500;3.140834;3.140417;93;

451657;8.000000;24.437500;0.021667;3.140417;96;

451794;8.000000;24.437500;0.021667;3.140417;93;

451924;10.666626;24.437500;0.021667;3.140417;94;

452056;18.666626;24.437500;0.021667;3.140834;95;

452193;14.666626;24.437500;0.021667;3.140417;94;

452337;17.333374;24.437500;0.021667;3.140834;95;

452486;10.666626;24.437500;0.021667;3.140834;96;

452623;17.333374;24.437500;0.021667;3.140834;93;

452767;17.333374;24.437500;0.021667;3.140834;95;

452913;10.666626;24.437500;0.021667;3.140417;93;

453056;8.000000;24.437500;0.021667;3.140417;92;

453197;10.666626;24.437500;0.021667;3.140834;93;

453344;-1.333374;24.437500;0.021667;3.140417;92;

453487;-10.666626;24.437500;0.021667;3.140834;95;

453624;-21.333374;24.437500;0.021667;3.140834;92;

